Trainer Name / Item Name,Location,Type,Location_Type,Script_or_Flag,PostScript (Leave blank if you don't know what this is),Hidden,Requirements,Requirements 2,Requirements 3,Requirements Alternative,Requirements Alternative 2,,,,
ITEM_HARBOR_MAIL,Abandoned Ship,Normal Item,Item Ball,FLAG_ITEM_ABANDONED_SHIP_ROOMS_1F_HARBOR_MAIL,,FALSE,,,,,,,,,Working
ITEM_DIVE_BALL,Abandoned Ship,Normal Item,Item Ball,FLAG_ITEM_ABANDONED_SHIP_ROOMS_2_B1F_DIVE_BALL,,FALSE,,,,,,,,,Working with Issues
ITEM_ESCAPE_ROPE,Abandoned Ship,Normal Item,Item Ball,FLAG_ITEM_ABANDONED_SHIP_ROOMS_B1F_ESCAPE_ROPE,,FALSE,,,,,,,,,Not Working
ITEM_REVIVE,Abandoned Ship,Normal Item,Item Ball,FLAG_ITEM_ABANDONED_SHIP_ROOMS_2_1F_REVIVE,,FALSE,,,,,,,,,
ITEM_STORAGE_KEY,Abandoned Ship,Normal Item,Item Ball,FLAG_ITEM_ABANDONED_SHIP_CAPTAINS_OFFICE_STORAGE_KEY,,FALSE,,,,,,,,,
ITEM_TM_ICE_BEAM,Abandoned Ship,Normal Item,Item Ball,FLAG_ITEM_ABANDONED_SHIP_ROOMS_B1F_TM_ICE_BEAM,,FALSE,,,,,,,,,
ITEM_WATER_STONE,Abandoned Ship,Normal Item,Item Ball,FLAG_ITEM_ABANDONED_SHIP_HIDDEN_FLOOR_ROOM_3_WATER_STONE,,FALSE,ITEM_HM08,,,,,,,,
ITEM_KEY_TO_ROOM_1,Abandoned Ship,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_1_KEY,,TRUE,ITEM_HM08,,,,,,,,
ITEM_TM_RAIN_DANCE,Abandoned Ship,Normal Item,Item Ball,FLAG_ITEM_ABANDONED_SHIP_HIDDEN_FLOOR_ROOM_1_TM_RAIN_DANCE,,FALSE,ITEM_KEY_TO_ROOM_1,ITEM_HM08,,,,,,,
ITEM_KEY_TO_ROOM_4,Abandoned Ship,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_4_KEY,,TRUE,ITEM_KEY_TO_ROOM_1,ITEM_HM08,,,,,,,
ITEM_KEY_TO_ROOM_6,Abandoned Ship,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_6_KEY,,TRUE,ITEM_HM08,ITEM_KEY_TO_ROOM_4,,,,,,,
ITEM_LUXURY_BALL,Abandoned Ship,Normal Item,Item Ball,FLAG_ITEM_ABANDONED_SHIP_HIDDEN_FLOOR_ROOM_6_LUXURY_BALL,,FALSE,ITEM_KEY_TO_ROOM_6,ITEM_HM08,,,,,,,
ITEM_KEY_TO_ROOM_2,Abandoned Ship,Normal Item,Hidden Item,FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_2_KEY,,TRUE,ITEM_HM08,ITEM_KEY_TO_ROOM_4,,,,,,,
ITEM_SCANNER,Abandoned Ship,Normal Item,Item Ball,FLAG_ITEM_ABANDONED_SHIP_HIDDEN_FLOOR_ROOM_2_SCANNER,,FALSE,ITEM_KEY_TO_ROOM_2,ITEM_HM08,,,,,,,
TRAINER_Thalia_1,Abandoned Ship,Trainer,Trainer,TRAINER_Thalia_1_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
TRAINER_Demetrius,Abandoned Ship,Trainer,Trainer,TRAINER_Demetrius_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
TRAINER_Duncan,Abandoned Ship,Trainer,Trainer,TRAINER_Duncan_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
TRAINER_Charlie,Abandoned Ship,Trainer,Trainer,TRAINER_Charlie_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
TRAINER_Garrison,Abandoned Ship,Trainer,Trainer,TRAINER_Garrison_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
TRAINER_Jani,Abandoned Ship,Trainer,Trainer,TRAINER_Jani_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
TRAINER_Kira_And_Dan_1,Abandoned Ship,Trainer,Trainer,TRAINER_Kira_And_Dan_1_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
Registeel,Ancient Tomb,Trainer,Legendary Pokemon,Registeel_Item,,FALSE,,,,,,,,,
ITEM_MASTER_BALL,Aqua Hideout,Normal Item,Item Ball,FLAG_ITEM_AQUA_HIDEOUT_B1F_MASTER_BALL,,FALSE,,,,,,,,,
ITEM_NUGGET,Aqua Hideout,Normal Item,Item Ball,FLAG_ITEM_AQUA_HIDEOUT_B1F_NUGGET,,FALSE,,,,,,,,,
ITEM_MAX_ELIXIR,Aqua Hideout,Normal Item,Item Ball,FLAG_ITEM_AQUA_HIDEOUT_B1F_MAX_ELIXIR,,FALSE,,,,,,,,,
ITEM_NEST_BALL,Aqua Hideout,Normal Item,Item Ball,FLAG_ITEM_AQUA_HIDEOUT_B2F_NEST_BALL,,FALSE,,,,,,,,,
SPECIES_ELECTRODE,Aqua Hideout,Trap,Item Ball,FLAG_HIDE_AQUA_HIDEOUT_B1F_ELECTRODE_1,,FALSE,,,,,,,,,
SPECIES_ELECTRODE,Aqua Hideout,Trap,Item Ball,FLAG_HIDE_AQUA_HIDEOUT_B1F_ELECTRODE_2,,FALSE,,,,,,,,,
TRAINER_Grunt_Aqua_Hideout_1,Aqua Hideout,Trainer,Trainer,TRAINER_Grunt_Aqua_Hideout_1_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
TRAINER_Grunt_Aqua_Hideout_2,Aqua Hideout,Trainer,Trainer,TRAINER_Grunt_Aqua_Hideout_2_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
TRAINER_Grunt_Aqua_Hideout_3,Aqua Hideout,Trainer,Trainer,TRAINER_Grunt_Aqua_Hideout_3_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
TRAINER_Grunt_Aqua_Hideout_4,Aqua Hideout,Trainer,Trainer,TRAINER_Grunt_Aqua_Hideout_4_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
TRAINER_Grunt_Aqua_Hideout_5,Aqua Hideout,Trainer,Trainer,TRAINER_Grunt_Aqua_Hideout_5_EVENTSCRIPT_ITEM,,FALSE,,,,,,,,,
